edited_at,filename,init_dt,end_dt,init_km,end_km,event1_dt,event1_km,event1_lon,event1_lat,event1_label,event2_dt,event2_km,event2_lon,event2_lat,event2_label,event3_dt,event3_km,event3_lon,event3_lat,event3_label,event4_dt,event4_km,event4_lon,event4_lat,event4_label
2026-03-06T09:15:46.330490,Map-Energy__sum__linear-conv00001-20250201_000047-20250201_060047-0.050000-5.000000.png,2025-02-01T00:00:47,2025-02-01T06:00:47,0.05,5.0,2025-02-01T03:00:47,2.525,,,NOISE,2025-02-01T03:00:47,2.525,,,NOISE,2025-02-01T03:00:47,2.525,,,NOISE,2025-02-01T03:00:47,2.525,,,NOISE
2026-03-06T09:15:48.170170,Map-Energy__sum__linear-conv00011-20250201_060047-20250201_120047-0.050000-5.000000.png,2025-02-01T06:00:47,2025-02-01T12:00:47,0.05,5.0,2025-02-01T09:00:47,2.525,,,NOISE,2025-02-01T09:00:47,2.525,,,NOISE,2025-02-01T09:00:47,2.525,,,NOISE,2025-02-01T09:00:47,2.525,,,NOISE
2026-03-06T09:15:49.546224,Map-Energy__sum__linear-conv00021-20250201_120047-20250201_180047-0.050000-5.000000.png,2025-02-01T12:00:47,2025-02-01T18:00:47,0.05,5.0,2025-02-01T15:00:47,2.525,,,NOISE,2025-02-01T15:00:47,2.525,,,NOISE,2025-02-01T15:00:47,2.525,,,NOISE,2025-02-01T15:00:47,2.525,,,NOISE
2026-03-06T09:15:50.482230,Map-Energy__sum__linear-conv00031-20250201_180047-20250202_000047-0.050000-5.000000.png,2025-02-01T18:00:47,2025-02-02T00:00:47,0.05,5.0,2025-02-01T21:00:47,2.525,,,NOISE,2025-02-01T21:00:47,2.525,,,NOISE,2025-02-01T21:00:47,2.525,,,NOISE,2025-02-01T21:00:47,2.525,,,NOISE
2026-03-06T09:15:51.322067,Map-Energy__sum__linear-conv00041-20250202_000047-20250202_060047-0.050000-5.000000.png,2025-02-02T00:00:47,2025-02-02T06:00:47,0.05,5.0,2025-02-02T03:00:47,2.525,,,NOISE,2025-02-02T03:00:47,2.525,,,NOISE,2025-02-02T03:00:47,2.525,,,NOISE,2025-02-02T03:00:47,2.525,,,NOISE
2026-03-06T09:15:52.266128,Map-Energy__sum__linear-conv00051-20250202_060047-20250202_120047-0.050000-5.000000.png,2025-02-02T06:00:47,2025-02-02T12:00:47,0.05,5.0,2025-02-02T09:00:47,2.525,,,NOISE,2025-02-02T09:00:47,2.525,,,NOISE,2025-02-02T09:00:47,2.525,,,NOISE,2025-02-02T09:00:47,2.525,,,NOISE
2026-03-06T09:15:53.098157,Map-Energy__sum__linear-conv00061-20250202_120047-20250202_180047-0.050000-5.000000.png,2025-02-02T12:00:47,2025-02-02T18:00:47,0.05,5.0,2025-02-02T15:00:47,2.525,,,NOISE,2025-02-02T15:00:47,2.525,,,NOISE,2025-02-02T15:00:47,2.525,,,NOISE,2025-02-02T15:00:47,2.525,,,NOISE
2026-03-06T09:15:53.930005,Map-Energy__sum__linear-conv00071-20250202_180047-20250203_000047-0.050000-5.000000.png,2025-02-02T18:00:47,2025-02-03T00:00:47,0.05,5.0,2025-02-02T21:00:47,2.525,,,NOISE,2025-02-02T21:00:47,2.525,,,NOISE,2025-02-02T21:00:47,2.525,,,NOISE,2025-02-02T21:00:47,2.525,,,NOISE
2026-03-06T09:15:54.722279,Map-Energy__sum__linear-conv00081-20250203_000047-20250203_060047-0.050000-5.000000.png,2025-02-03T00:00:47,2025-02-03T06:00:47,0.05,5.0,2025-02-03T03:00:47,2.525,,,NOISE,2025-02-03T03:00:47,2.525,,,NOISE,2025-02-03T03:00:47,2.525,,,NOISE,2025-02-03T03:00:47,2.525,,,NOISE
2026-03-06T09:15:55.554008,Map-Energy__sum__linear-conv00091-20250203_060047-20250203_120047-0.050000-5.000000.png,2025-02-03T06:00:47,2025-02-03T12:00:47,0.05,5.0,2025-02-03T09:00:47,2.525,,,NOISE,2025-02-03T09:00:47,2.525,,,NOISE,2025-02-03T09:00:47,2.525,,,NOISE,2025-02-03T09:00:47,2.525,,,NOISE
2026-03-06T09:15:56.426186,Map-Energy__sum__linear-conv00101-20250203_120047-20250203_180047-0.050000-5.000000.png,2025-02-03T12:00:47,2025-02-03T18:00:47,0.05,5.0,2025-02-03T15:00:47,2.525,,,NOISE,2025-02-03T15:00:47,2.525,,,NOISE,2025-02-03T15:00:47,2.525,,,NOISE,2025-02-03T15:00:47,2.525,,,NOISE
2026-03-06T09:15:57.378091,Map-Energy__sum__linear-conv00111-20250203_180047-20250204_000047-0.050000-5.000000.png,2025-02-03T18:00:47,2025-02-04T00:00:47,0.05,5.0,2025-02-03T21:00:47,2.525,,,NOISE,2025-02-03T21:00:47,2.525,,,NOISE,2025-02-03T21:00:47,2.525,,,NOISE,2025-02-03T21:00:47,2.525,,,NOISE
2026-03-06T09:15:58.234177,Map-Energy__sum__linear-conv00121-20250204_000047-20250204_060047-0.050000-5.000000.png,2025-02-04T00:00:47,2025-02-04T06:00:47,0.05,5.0,2025-02-04T03:00:47,2.525,,,NOISE,2025-02-04T03:00:47,2.525,,,NOISE,2025-02-04T03:00:47,2.525,,,NOISE,2025-02-04T03:00:47,2.525,,,NOISE
2026-03-06T09:15:59.162081,Map-Energy__sum__linear-conv00131-20250204_060047-20250204_120047-0.050000-5.000000.png,2025-02-04T06:00:47,2025-02-04T12:00:47,0.05,5.0,2025-02-04T09:00:47,2.525,,,NOISE,2025-02-04T09:00:47,2.525,,,NOISE,2025-02-04T09:00:47,2.525,,,NOISE,2025-02-04T09:00:47,2.525,,,NOISE
2026-03-06T09:15:59.938280,Map-Energy__sum__linear-conv00141-20250204_120047-20250204_180047-0.050000-5.000000.png,2025-02-04T12:00:47,2025-02-04T18:00:47,0.05,5.0,2025-02-04T15:00:47,2.525,,,NOISE,2025-02-04T15:00:47,2.525,,,NOISE,2025-02-04T15:00:47,2.525,,,NOISE,2025-02-04T15:00:47,2.525,,,NOISE
2026-03-06T09:16:00.810124,Map-Energy__sum__linear-conv00151-20250204_180047-20250205_000047-0.050000-5.000000.png,2025-02-04T18:00:47,2025-02-05T00:00:47,0.05,5.0,2025-02-04T21:00:47,2.525,,,NOISE,2025-02-04T21:00:47,2.525,,,NOISE,2025-02-04T21:00:47,2.525,,,NOISE,2025-02-04T21:00:47,2.525,,,NOISE
2026-03-06T09:16:01.570044,Map-Energy__sum__linear-conv00161-20250205_000047-20250205_060047-0.050000-5.000000.png,2025-02-05T00:00:47,2025-02-05T06:00:47,0.05,5.0,2025-02-05T03:00:47,2.525,,,NOISE,2025-02-05T03:00:47,2.525,,,NOISE,2025-02-05T03:00:47,2.525,,,NOISE,2025-02-05T03:00:47,2.525,,,NOISE
2026-03-06T09:16:02.306076,Map-Energy__sum__linear-conv00171-20250205_060047-20250205_120047-0.050000-5.000000.png,2025-02-05T06:00:47,2025-02-05T12:00:47,0.05,5.0,2025-02-05T09:00:47,2.525,,,NOISE,2025-02-05T09:00:47,2.525,,,NOISE,2025-02-05T09:00:47,2.525,,,NOISE,2025-02-05T09:00:47,2.525,,,NOISE
2026-03-06T09:16:03.026115,Map-Energy__sum__linear-conv00181-20250205_120047-20250205_180047-0.050000-5.000000.png,2025-02-05T12:00:47,2025-02-05T18:00:47,0.05,5.0,2025-02-05T15:00:47,2.525,,,NOISE,2025-02-05T15:00:47,2.525,,,NOISE,2025-02-05T15:00:47,2.525,,,NOISE,2025-02-05T15:00:47,2.525,,,NOISE
2026-03-06T09:16:03.826198,Map-Energy__sum__linear-conv00191-20250205_180047-20250206_000047-0.050000-5.000000.png,2025-02-05T18:00:47,2025-02-06T00:00:47,0.05,5.0,2025-02-05T21:00:47,2.525,,,NOISE,2025-02-05T21:00:47,2.525,,,NOISE,2025-02-05T21:00:47,2.525,,,NOISE,2025-02-05T21:00:47,2.525,,,NOISE
2026-03-06T09:16:04.578232,Map-Energy__sum__linear-conv00201-20250206_000047-20250206_060047-0.050000-5.000000.png,2025-02-06T00:00:47,2025-02-06T06:00:47,0.05,5.0,2025-02-06T03:00:47,2.525,,,NOISE,2025-02-06T03:00:47,2.525,,,NOISE,2025-02-06T03:00:47,2.525,,,NOISE,2025-02-06T03:00:47,2.525,,,NOISE
2026-03-06T09:16:05.314099,Map-Energy__sum__linear-conv00211-20250206_060047-20250206_120047-0.050000-5.000000.png,2025-02-06T06:00:47,2025-02-06T12:00:47,0.05,5.0,2025-02-06T09:00:47,2.525,,,NOISE,2025-02-06T09:00:47,2.525,,,NOISE,2025-02-06T09:00:47,2.525,,,NOISE,2025-02-06T09:00:47,2.525,,,NOISE
