edited_at,filename,init_dt,end_dt,init_km,end_km,event1_dt,event1_km,event1_lon,event1_lat,event1_label,event2_dt,event2_km,event2_lon,event2_lat,event2_label,event3_dt,event3_km,event3_lon,event3_lat,event3_label,event4_dt,event4_km,event4_lon,event4_lat,event4_label
2026-04-17T09:28:26.029839,Map-Energy__sum__linear-conv00001-20241201_000047-20241201_060047-0.050000-5.000000.png,2024-12-01T00:00:47,2024-12-01T06:00:47,0.05,5.0,2024-12-01T03:00:47,2.525,11.9301635288236,78.9554869237935,NOISE,2024-12-01T03:00:47,2.525,11.9301635288236,78.9554869237935,NOISE,2024-12-01T03:00:47,2.525,11.9301635288236,78.9554869237935,NOISE,2024-12-01T03:00:47,2.525,11.9301635288236,78.9554869237935,NOISE
2026-04-17T09:28:33.525594,Map-Energy__sum__linear-conv00011-20241201_060047-20241201_120047-0.050000-5.000000.png,2024-12-01T06:00:47,2024-12-01T12:00:47,0.05,5.0,2024-12-01T09:00:47,2.525,11.9301635288236,78.9554869237935,NOISE,2024-12-01T09:00:47,2.525,11.9301635288236,78.9554869237935,NOISE,2024-12-01T09:00:47,2.525,11.9301635288236,78.9554869237935,NOISE,2024-12-01T09:00:47,2.525,11.9301635288236,78.9554869237935,NOISE
2026-04-17T09:28:35.541902,Map-Energy__sum__linear-conv00021-20241201_120047-20241201_180047-0.050000-5.000000.png,2024-12-01T12:00:47,2024-12-01T18:00:47,0.05,5.0,2024-12-01T15:00:47,2.525,11.9301635288236,78.9554869237935,NOISE,2024-12-01T15:00:47,2.525,11.9301635288236,78.9554869237935,NOISE,2024-12-01T15:00:47,2.525,11.9301635288236,78.9554869237935,NOISE,2024-12-01T15:00:47,2.525,11.9301635288236,78.9554869237935,NOISE
2026-04-17T09:28:44.477813,Map-Energy__sum__linear-conv00031-20241201_180047-20241202_000047-0.050000-5.000000.png,2024-12-01T18:00:47,2024-12-02T00:00:47,0.05,5.0,2024-12-01T21:00:47,2.525,11.9301635288236,78.9554869237935,NOISE,2024-12-01T21:00:47,2.525,11.9301635288236,78.9554869237935,NOISE,2024-12-01T21:00:47,2.525,11.9301635288236,78.9554869237935,NOISE,2024-12-01T21:00:47,2.525,11.9301635288236,78.9554869237935,NOISE
2026-04-17T09:28:45.589850,Map-Energy__sum__linear-conv00041-20241202_000047-20241202_060047-0.050000-5.000000.png,2024-12-02T00:00:47,2024-12-02T06:00:47,0.05,5.0,2024-12-02T03:00:47,2.525,11.9301635288236,78.9554869237935,NOISE,2024-12-02T03:00:47,2.525,11.9301635288236,78.9554869237935,NOISE,2024-12-02T03:00:47,2.525,11.9301635288236,78.9554869237935,NOISE,2024-12-02T03:00:47,2.525,11.9301635288236,78.9554869237935,NOISE
2026-04-17T09:28:46.965935,Map-Energy__sum__linear-conv00051-20241202_060047-20241202_120047-0.050000-5.000000.png,2024-12-02T06:00:47,2024-12-02T12:00:47,0.05,5.0,2024-12-02T09:00:47,2.525,11.9301635288236,78.9554869237935,NOISE,2024-12-02T09:00:47,2.525,11.9301635288236,78.9554869237935,NOISE,2024-12-02T09:00:47,2.525,11.9301635288236,78.9554869237935,NOISE,2024-12-02T09:00:47,2.525,11.9301635288236,78.9554869237935,NOISE
2026-04-17T09:28:48.237816,Map-Energy__sum__linear-conv00061-20241202_120047-20241202_180047-0.050000-5.000000.png,2024-12-02T12:00:47,2024-12-02T18:00:47,0.05,5.0,2024-12-02T15:00:47,2.525,11.9301635288236,78.9554869237935,NOISE,2024-12-02T15:00:47,2.525,11.9301635288236,78.9554869237935,NOISE,2024-12-02T15:00:47,2.525,11.9301635288236,78.9554869237935,NOISE,2024-12-02T15:00:47,2.525,11.9301635288236,78.9554869237935,NOISE
2026-04-17T09:28:49.357828,Map-Energy__sum__linear-conv00071-20241202_180047-20241203_000047-0.050000-5.000000.png,2024-12-02T18:00:47,2024-12-03T00:00:47,0.05,5.0,2024-12-02T21:00:47,2.525,11.9301635288236,78.9554869237935,NOISE,2024-12-02T21:00:47,2.525,11.9301635288236,78.9554869237935,NOISE,2024-12-02T21:00:47,2.525,11.9301635288236,78.9554869237935,NOISE,2024-12-02T21:00:47,2.525,11.9301635288236,78.9554869237935,NOISE
2026-04-17T09:28:50.413740,Map-Energy__sum__linear-conv00081-20241203_000047-20241203_060047-0.050000-5.000000.png,2024-12-03T00:00:47,2024-12-03T06:00:47,0.05,5.0,2024-12-03T03:00:47,2.525,11.9301635288236,78.9554869237935,NOISE,2024-12-03T03:00:47,2.525,11.9301635288236,78.9554869237935,NOISE,2024-12-03T03:00:47,2.525,11.9301635288236,78.9554869237935,NOISE,2024-12-03T03:00:47,2.525,11.9301635288236,78.9554869237935,NOISE
2026-04-17T09:28:51.373881,Map-Energy__sum__linear-conv00091-20241203_060047-20241203_120047-0.050000-5.000000.png,2024-12-03T06:00:47,2024-12-03T12:00:47,0.05,5.0,2024-12-03T09:00:47,2.525,11.9301635288236,78.9554869237935,NOISE,2024-12-03T09:00:47,2.525,11.9301635288236,78.9554869237935,NOISE,2024-12-03T09:00:47,2.525,11.9301635288236,78.9554869237935,NOISE,2024-12-03T09:00:47,2.525,11.9301635288236,78.9554869237935,NOISE
