edited_at,filename,init_dt,end_dt,init_km,end_km,event1_dt,event1_km,event1_lon,event1_lat,event1_label,event2_dt,event2_km,event2_lon,event2_lat,event2_label,event3_dt,event3_km,event3_lon,event3_lat,event3_label,event4_dt,event4_km,event4_lon,event4_lat,event4_label
2026-03-05T12:06:46.162470,Map-Energy__sum__linear-conv00001-20250101_000047-20250101_060047-0.050000-5.000000.png,2025-01-01T00:00:47,2025-01-01T06:00:47,0.05,5.0,2025-01-01T03:00:47,2.525,,,NOISE,2025-01-01T03:00:47,2.525,,,NOISE,2025-01-01T03:00:47,2.525,,,NOISE,2025-01-01T03:00:47,2.525,,,NOISE
2026-03-05T12:06:50.171052,Map-Energy__sum__linear-conv00011-20250101_060047-20250101_120047-0.050000-5.000000.png,2025-01-01T06:00:47,2025-01-01T12:00:47,0.05,5.0,2025-01-01T09:00:47,2.525,,,NOISE,2025-01-01T09:00:47,2.525,,,NOISE,2025-01-01T09:00:47,2.525,,,NOISE,2025-01-01T09:00:47,2.525,,,NOISE
2026-03-05T12:08:47.882390,Map-Energy__sum__linear-conv00021-20250101_120047-20250101_180047-0.050000-5.000000.png,2025-01-01T12:00:47,2025-01-01T18:00:47,0.05,5.0,2025-01-01T15:00:47,2.525,,,NOISE,2025-01-01T15:00:47,2.525,,,NOISE,2025-01-01T15:00:47,2.525,,,NOISE,2025-01-01T15:00:47,2.525,,,NOISE
2026-03-05T12:08:49.346544,Map-Energy__sum__linear-conv00031-20250101_180047-20250102_000047-0.050000-5.000000.png,2025-01-01T18:00:47,2025-01-02T00:00:47,0.05,5.0,2025-01-01T21:00:47,2.525,,,NOISE,2025-01-01T21:00:47,2.525,,,NOISE,2025-01-01T21:00:47,2.525,,,NOISE,2025-01-01T21:00:47,2.525,,,NOISE
2026-03-05T12:08:53.170382,Map-Energy__sum__linear-conv00041-20250102_000047-20250102_060047-0.050000-5.000000.png,2025-01-02T00:00:47,2025-01-02T06:00:47,0.05,5.0,2025-01-02T03:00:47,2.525,,,NOISE,2025-01-02T03:00:47,2.525,,,NOISE,2025-01-02T03:00:47,2.525,,,NOISE,2025-01-02T03:00:47,2.525,,,NOISE
2026-03-05T12:08:55.258543,Map-Energy__sum__linear-conv00051-20250102_060047-20250102_120047-0.050000-5.000000.png,2025-01-02T06:00:47,2025-01-02T12:00:47,0.05,5.0,2025-01-02T09:00:47,2.525,,,NOISE,2025-01-02T09:00:47,2.525,,,NOISE,2025-01-02T09:00:47,2.525,,,NOISE,2025-01-02T09:00:47,2.525,,,NOISE
2026-03-05T12:08:56.682433,Map-Energy__sum__linear-conv00061-20250102_120047-20250102_180047-0.050000-5.000000.png,2025-01-02T12:00:47,2025-01-02T18:00:47,0.05,5.0,2025-01-02T15:00:47,2.525,,,NOISE,2025-01-02T15:00:47,2.525,,,NOISE,2025-01-02T15:00:47,2.525,,,NOISE,2025-01-02T15:00:47,2.525,,,NOISE
2026-03-05T12:08:58.082461,Map-Energy__sum__linear-conv00071-20250102_180047-20250103_000047-0.050000-5.000000.png,2025-01-02T18:00:47,2025-01-03T00:00:47,0.05,5.0,2025-01-02T21:00:47,2.525,,,NOISE,2025-01-02T21:00:47,2.525,,,NOISE,2025-01-02T21:00:47,2.525,,,NOISE,2025-01-02T21:00:47,2.525,,,NOISE
2026-03-05T12:08:59.330635,Map-Energy__sum__linear-conv00081-20250103_000047-20250103_060047-0.050000-5.000000.png,2025-01-03T00:00:47,2025-01-03T06:00:47,0.05,5.0,2025-01-03T03:00:47,2.525,,,NOISE,2025-01-03T03:00:47,2.525,,,NOISE,2025-01-03T03:00:47,2.525,,,NOISE,2025-01-03T03:00:47,2.525,,,NOISE
2026-03-05T12:09:00.458345,Map-Energy__sum__linear-conv00091-20250103_060047-20250103_120047-0.050000-5.000000.png,2025-01-03T06:00:47,2025-01-03T12:00:47,0.05,5.0,2025-01-03T09:00:47,2.525,,,NOISE,2025-01-03T09:00:47,2.525,,,NOISE,2025-01-03T09:00:47,2.525,,,NOISE,2025-01-03T09:00:47,2.525,,,NOISE
