edited_at,filename,init_dt,end_dt,init_km,end_km,event1_dt,event1_km,event1_lon,event1_lat,event1_label,event2_dt,event2_km,event2_lon,event2_lat,event2_label,event3_dt,event3_km,event3_lon,event3_lat,event3_label,event4_dt,event4_km,event4_lon,event4_lat,event4_label
2026-04-20T09:08:42.480552,Map-Energy__sum__linear-conv00001-20250301_000047-20250301_060047-0.050000-5.000000.png,2025-03-01T00:00:47,2025-03-01T06:00:47,0.05,5.0,2025-03-01T03:00:47,2.525,11.9301635288236,78.9554869237935,NOISE,2025-03-01T03:00:47,2.525,11.9301635288236,78.9554869237935,NOISE,2025-03-01T03:00:47,2.525,11.9301635288236,78.9554869237935,NOISE,2025-03-01T03:00:47,2.525,11.9301635288236,78.9554869237935,NOISE
2026-04-20T09:08:49.680502,Map-Energy__sum__linear-conv00011-20250301_060047-20250301_120047-0.050000-5.000000.png,2025-03-01T06:00:47,2025-03-01T12:00:47,0.05,5.0,2025-03-01T09:00:47,2.525,11.9301635288236,78.9554869237935,NOISE,2025-03-01T09:00:47,2.525,11.9301635288236,78.9554869237935,NOISE,2025-03-01T09:00:47,2.525,11.9301635288236,78.9554869237935,NOISE,2025-03-01T09:00:47,2.525,11.9301635288236,78.9554869237935,NOISE
2026-04-20T09:08:51.569150,Map-Energy__sum__linear-conv00021-20250301_120047-20250301_180047-0.050000-5.000000.png,2025-03-01T12:00:47,2025-03-01T18:00:47,0.05,5.0,2025-03-01T15:00:47,2.525,11.9301635288236,78.9554869237935,NOISE,2025-03-01T15:00:47,2.525,11.9301635288236,78.9554869237935,NOISE,2025-03-01T15:00:47,2.525,11.9301635288236,78.9554869237935,NOISE,2025-03-01T15:00:47,2.525,11.9301635288236,78.9554869237935,NOISE
2026-04-20T09:08:53.033023,Map-Energy__sum__linear-conv00031-20250301_180047-20250302_000047-0.050000-5.000000.png,2025-03-01T18:00:47,2025-03-02T00:00:47,0.05,5.0,2025-03-01T21:00:47,2.525,11.9301635288236,78.9554869237935,NOISE,2025-03-01T21:00:47,2.525,11.9301635288236,78.9554869237935,NOISE,2025-03-01T21:00:47,2.525,11.9301635288236,78.9554869237935,NOISE,2025-03-01T21:00:47,2.525,11.9301635288236,78.9554869237935,NOISE
2026-04-20T09:08:54.096631,Map-Energy__sum__linear-conv00041-20250302_000047-20250302_060047-0.050000-5.000000.png,2025-03-02T00:00:47,2025-03-02T06:00:47,0.05,5.0,2025-03-02T03:00:47,2.525,11.9301635288236,78.9554869237935,NOISE,2025-03-02T03:00:47,2.525,11.9301635288236,78.9554869237935,NOISE,2025-03-02T03:00:47,2.525,11.9301635288236,78.9554869237935,NOISE,2025-03-02T03:00:47,2.525,11.9301635288236,78.9554869237935,NOISE
2026-04-20T09:08:55.288421,Map-Energy__sum__linear-conv00051-20250302_060047-20250302_120047-0.050000-5.000000.png,2025-03-02T06:00:47,2025-03-02T12:00:47,0.05,5.0,2025-03-02T09:00:47,2.525,11.9301635288236,78.9554869237935,NOISE,2025-03-02T09:00:47,2.525,11.9301635288236,78.9554869237935,NOISE,2025-03-02T09:00:47,2.525,11.9301635288236,78.9554869237935,NOISE,2025-03-02T09:00:47,2.525,11.9301635288236,78.9554869237935,NOISE
2026-04-20T09:08:57.016238,Map-Energy__sum__linear-conv00061-20250302_120047-20250302_180047-0.050000-5.000000.png,2025-03-02T12:00:47,2025-03-02T18:00:47,0.05,5.0,2025-03-02T15:00:47,2.525,11.9301635288236,78.9554869237935,NOISE,2025-03-02T15:00:47,2.525,11.9301635288236,78.9554869237935,NOISE,2025-03-02T15:00:47,2.525,11.9301635288236,78.9554869237935,NOISE,2025-03-02T15:00:47,2.525,11.9301635288236,78.9554869237935,NOISE
2026-04-20T09:08:58.376485,Map-Energy__sum__linear-conv00071-20250302_180047-20250303_000047-0.050000-5.000000.png,2025-03-02T18:00:47,2025-03-03T00:00:47,0.05,5.0,2025-03-02T21:00:47,2.525,11.9301635288236,78.9554869237935,NOISE,2025-03-02T21:00:47,2.525,11.9301635288236,78.9554869237935,NOISE,2025-03-02T21:00:47,2.525,11.9301635288236,78.9554869237935,NOISE,2025-03-02T21:00:47,2.525,11.9301635288236,78.9554869237935,NOISE
2026-04-20T09:08:59.688546,Map-Energy__sum__linear-conv00081-20250303_000047-20250303_060047-0.050000-5.000000.png,2025-03-03T00:00:47,2025-03-03T06:00:47,0.05,5.0,2025-03-03T03:00:47,2.525,11.9301635288236,78.9554869237935,NOISE,2025-03-03T03:00:47,2.525,11.9301635288236,78.9554869237935,NOISE,2025-03-03T03:00:47,2.525,11.9301635288236,78.9554869237935,NOISE,2025-03-03T03:00:47,2.525,11.9301635288236,78.9554869237935,NOISE
2026-04-20T09:09:00.888697,Map-Energy__sum__linear-conv00091-20250303_060047-20250303_120047-0.050000-5.000000.png,2025-03-03T06:00:47,2025-03-03T12:00:47,0.05,5.0,2025-03-03T09:00:47,2.525,11.9301635288236,78.9554869237935,NOISE,2025-03-03T09:00:47,2.525,11.9301635288236,78.9554869237935,NOISE,2025-03-03T09:00:47,2.525,11.9301635288236,78.9554869237935,NOISE,2025-03-03T09:00:47,2.525,11.9301635288236,78.9554869237935,NOISE
2026-04-20T09:09:02.553024,Map-Energy__sum__linear-conv00002-20250303_120047-20250303_180047-0.050000-5.000000.png,2025-03-03T12:00:47,2025-03-03T18:00:47,0.05,5.0,2025-03-03T15:00:47,2.525,11.9301635288236,78.9554869237935,NOISE,2025-03-03T15:00:47,2.525,11.9301635288236,78.9554869237935,NOISE,2025-03-03T15:00:47,2.525,11.9301635288236,78.9554869237935,NOISE,2025-03-03T15:00:47,2.525,11.9301635288236,78.9554869237935,NOISE
2026-04-20T09:09:04.128686,Map-Energy__sum__linear-conv00012-20250303_180047-20250304_000047-0.050000-5.000000.png,2025-03-03T18:00:47,2025-03-04T00:00:47,0.05,5.0,2025-03-03T21:00:47,2.525,11.9301635288236,78.9554869237935,NOISE,2025-03-03T21:00:47,2.525,11.9301635288236,78.9554869237935,NOISE,2025-03-03T21:00:47,2.525,11.9301635288236,78.9554869237935,NOISE,2025-03-03T21:00:47,2.525,11.9301635288236,78.9554869237935,NOISE
2026-04-20T09:09:05.936500,Map-Energy__sum__linear-conv00022-20250304_000047-20250304_060047-0.050000-5.000000.png,2025-03-04T00:00:47,2025-03-04T06:00:47,0.05,5.0,2025-03-04T03:00:47,2.525,11.9301635288236,78.9554869237935,NOISE,2025-03-04T03:00:47,2.525,11.9301635288236,78.9554869237935,NOISE,2025-03-04T03:00:47,2.525,11.9301635288236,78.9554869237935,NOISE,2025-03-04T03:00:47,2.525,11.9301635288236,78.9554869237935,NOISE
