edited_at,filename,init_dt,end_dt,init_km,end_km,event1_dt,event1_km,event1_lon,event1_lat,event1_label,event2_dt,event2_km,event2_lon,event2_lat,event2_label,event3_dt,event3_km,event3_lon,event3_lat,event3_label,event4_dt,event4_km,event4_lon,event4_lat,event4_label
2026-03-04T12:20:26.476798,Map-Energy__sum__linear-conv00001-20241101_000047-20241101_060047-0.050000-5.000000.png,2024-11-01T00:00:47,2024-11-01T06:00:47,0.05,5.0,2024-11-01T03:00:47,2.525,,,NOISE,2024-11-01T03:00:47,2.525,,,NOISE,2024-11-01T03:00:47,2.525,,,NOISE,2024-11-01T03:00:47,2.525,,,NOISE
2026-03-04T12:20:29.980705,Map-Energy__sum__linear-conv00011-20241101_060047-20241101_120047-0.050000-5.000000.png,2024-11-01T06:00:47,2024-11-01T12:00:47,0.05,5.0,2024-11-01T09:00:47,2.525,,,NOISE,2024-11-01T09:00:47,2.525,,,NOISE,2024-11-01T09:00:47,2.525,,,NOISE,2024-11-01T09:00:47,2.525,,,NOISE
2026-03-04T12:20:32.756702,Map-Energy__sum__linear-conv00021-20241101_120047-20241101_180047-0.050000-5.000000.png,2024-11-01T12:00:47,2024-11-01T18:00:47,0.05,5.0,2024-11-01T15:00:47,2.525,,,NOISE,2024-11-01T15:00:47,2.525,,,NOISE,2024-11-01T15:00:47,2.525,,,NOISE,2024-11-01T15:00:47,2.525,,,NOISE
2026-03-04T12:20:34.556581,Map-Energy__sum__linear-conv00031-20241101_180047-20241102_000047-0.050000-5.000000.png,2024-11-01T18:00:47,2024-11-02T00:00:47,0.05,5.0,2024-11-01T21:00:47,2.525,,,NOISE,2024-11-01T21:00:47,2.525,,,NOISE,2024-11-01T21:00:47,2.525,,,NOISE,2024-11-01T21:00:47,2.525,,,NOISE
2026-03-04T12:20:36.180900,Map-Energy__sum__linear-conv00041-20241102_000047-20241102_060047-0.050000-5.000000.png,2024-11-02T00:00:47,2024-11-02T06:00:47,0.05,5.0,2024-11-02T03:00:47,2.525,,,NOISE,2024-11-02T03:00:47,2.525,,,NOISE,2024-11-02T03:00:47,2.525,,,NOISE,2024-11-02T03:00:47,2.525,,,NOISE
2026-03-04T12:20:37.460726,Map-Energy__sum__linear-conv00051-20241102_060047-20241102_120047-0.050000-5.000000.png,2024-11-02T06:00:47,2024-11-02T12:00:47,0.05,5.0,2024-11-02T09:00:47,2.525,,,NOISE,2024-11-02T09:00:47,2.525,,,NOISE,2024-11-02T09:00:47,2.525,,,NOISE,2024-11-02T09:00:47,2.525,,,NOISE
2026-03-04T12:20:38.924820,Map-Energy__sum__linear-conv00061-20241102_120047-20241102_180047-0.050000-5.000000.png,2024-11-02T12:00:47,2024-11-02T18:00:47,0.05,5.0,2024-11-02T15:00:47,2.525,,,NOISE,2024-11-02T15:00:47,2.525,,,NOISE,2024-11-02T15:00:47,2.525,,,NOISE,2024-11-02T15:00:47,2.525,,,NOISE
2026-03-04T12:20:40.052879,Map-Energy__sum__linear-conv00071-20241102_180047-20241103_000047-0.050000-5.000000.png,2024-11-02T18:00:47,2024-11-03T00:00:47,0.05,5.0,2024-11-02T21:00:47,2.525,,,NOISE,2024-11-02T21:00:47,2.525,,,NOISE,2024-11-02T21:00:47,2.525,,,NOISE,2024-11-02T21:00:47,2.525,,,NOISE
2026-03-04T12:20:40.989193,Map-Energy__sum__linear-conv00081-20241103_000047-20241103_060047-0.050000-5.000000.png,2024-11-03T00:00:47,2024-11-03T06:00:47,0.05,5.0,2024-11-03T03:00:47,2.525,,,NOISE,2024-11-03T03:00:47,2.525,,,NOISE,2024-11-03T03:00:47,2.525,,,NOISE,2024-11-03T03:00:47,2.525,,,NOISE
2026-03-04T12:20:47.060793,Map-Energy__sum__linear-conv00091-20241103_060047-20241103_120047-0.050000-5.000000.png,2024-11-03T06:00:47,2024-11-03T12:00:47,0.05,5.0,2024-11-03T09:00:47,2.525,,,NOISE,2024-11-03T09:00:47,2.525,,,NOISE,2024-11-03T09:00:47,2.525,,,NOISE,2024-11-03T09:00:47,2.525,,,NOISE
2026-03-04T12:20:51.628849,Map-Energy__sum__linear-conv00101-20241103_120047-20241103_180047-0.050000-5.000000.png,2024-11-03T12:00:47,2024-11-03T18:00:47,0.05,5.0,2024-11-03T15:00:47,2.525,,,NOISE,2024-11-03T15:00:47,2.525,,,NOISE,2024-11-03T15:00:47,2.525,,,NOISE,2024-11-03T15:00:47,2.525,,,NOISE
2026-03-04T12:20:53.044850,Map-Energy__sum__linear-conv00111-20241103_180047-20241104_000047-0.050000-5.000000.png,2024-11-03T18:00:47,2024-11-04T00:00:47,0.05,5.0,2024-11-03T21:00:47,2.525,,,NOISE,2024-11-03T21:00:47,2.525,,,NOISE,2024-11-03T21:00:47,2.525,,,NOISE,2024-11-03T21:00:47,2.525,,,NOISE
2026-03-04T12:20:54.084836,Map-Energy__sum__linear-conv00121-20241104_000047-20241104_060047-0.050000-5.000000.png,2024-11-04T00:00:47,2024-11-04T06:00:47,0.05,5.0,2024-11-04T03:00:47,2.525,,,NOISE,2024-11-04T03:00:47,2.525,,,NOISE,2024-11-04T03:00:47,2.525,,,NOISE,2024-11-04T03:00:47,2.525,,,NOISE
2026-03-04T12:20:55.108821,Map-Energy__sum__linear-conv00131-20241104_060047-20241104_120047-0.050000-5.000000.png,2024-11-04T06:00:47,2024-11-04T12:00:47,0.05,5.0,2024-11-04T09:00:47,2.525,,,NOISE,2024-11-04T09:00:47,2.525,,,NOISE,2024-11-04T09:00:47,2.525,,,NOISE,2024-11-04T09:00:47,2.525,,,NOISE
2026-03-04T12:20:55.908736,Map-Energy__sum__linear-conv00141-20241104_120047-20241104_180047-0.050000-5.000000.png,2024-11-04T12:00:47,2024-11-04T18:00:47,0.05,5.0,2024-11-04T15:00:47,2.525,,,NOISE,2024-11-04T15:00:47,2.525,,,NOISE,2024-11-04T15:00:47,2.525,,,NOISE,2024-11-04T15:00:47,2.525,,,NOISE
2026-03-04T12:20:57.132789,Map-Energy__sum__linear-conv00151-20241104_180047-20241105_000047-0.050000-5.000000.png,2024-11-04T18:00:47,2024-11-05T00:00:47,0.05,5.0,2024-11-04T21:00:47,2.525,,,NOISE,2024-11-04T21:00:47,2.525,,,NOISE,2024-11-04T21:00:47,2.525,,,NOISE,2024-11-04T21:00:47,2.525,,,NOISE
2026-03-04T12:20:58.596703,Map-Energy__sum__linear-conv00161-20241105_000047-20241105_060047-0.050000-5.000000.png,2024-11-05T00:00:47,2024-11-05T06:00:47,0.05,5.0,2024-11-05T03:00:47,2.525,,,NOISE,2024-11-05T03:00:47,2.525,,,NOISE,2024-11-05T03:00:47,2.525,,,NOISE,2024-11-05T03:00:47,2.525,,,NOISE
2026-03-04T12:20:59.733025,Map-Energy__sum__linear-conv00171-20241105_060047-20241105_120047-0.050000-5.000000.png,2024-11-05T06:00:47,2024-11-05T12:00:47,0.05,5.0,2024-11-05T09:00:47,2.525,,,NOISE,2024-11-05T09:00:47,2.525,,,NOISE,2024-11-05T09:00:47,2.525,,,NOISE,2024-11-05T09:00:47,2.525,,,NOISE
2026-03-04T12:21:00.757305,Map-Energy__sum__linear-conv00181-20241105_120047-20241105_180047-0.050000-5.000000.png,2024-11-05T12:00:47,2024-11-05T18:00:47,0.05,5.0,2024-11-05T15:00:47,2.525,,,NOISE,2024-11-05T15:00:47,2.525,,,NOISE,2024-11-05T15:00:47,2.525,,,NOISE,2024-11-05T15:00:47,2.525,,,NOISE
2026-03-04T12:21:01.884715,Map-Energy__sum__linear-conv00191-20241105_180047-20241106_000047-0.050000-5.000000.png,2024-11-05T18:00:47,2024-11-06T00:00:47,0.05,5.0,2024-11-05T21:00:47,2.525,,,NOISE,2024-11-05T21:00:47,2.525,,,NOISE,2024-11-05T21:00:47,2.525,,,NOISE,2024-11-05T21:00:47,2.525,,,NOISE
2026-03-04T12:21:03.148744,Map-Energy__sum__linear-conv00201-20241106_000047-20241106_060047-0.050000-5.000000.png,2024-11-06T00:00:47,2024-11-06T06:00:47,0.05,5.0,2024-11-06T03:00:47,2.525,,,NOISE,2024-11-06T03:00:47,2.525,,,NOISE,2024-11-06T03:00:47,2.525,,,NOISE,2024-11-06T03:00:47,2.525,,,NOISE
2026-03-04T12:21:04.141278,Map-Energy__sum__linear-conv00211-20241106_060047-20241106_120047-0.050000-5.000000.png,2024-11-06T06:00:47,2024-11-06T12:00:47,0.05,5.0,2024-11-06T09:00:47,2.525,,,NOISE,2024-11-06T09:00:47,2.525,,,NOISE,2024-11-06T09:00:47,2.525,,,NOISE,2024-11-06T09:00:47,2.525,,,NOISE
2026-03-04T12:21:05.100719,Map-Energy__sum__linear-conv00221-20241106_120047-20241106_180047-0.050000-5.000000.png,2024-11-06T12:00:47,2024-11-06T18:00:47,0.05,5.0,2024-11-06T15:00:47,2.525,,,NOISE,2024-11-06T15:00:47,2.525,,,NOISE,2024-11-06T15:00:47,2.525,,,NOISE,2024-11-06T15:00:47,2.525,,,NOISE
2026-03-04T12:21:06.084804,Map-Energy__sum__linear-conv00231-20241106_180047-20241107_000047-0.050000-5.000000.png,2024-11-06T18:00:47,2024-11-07T00:00:47,0.05,5.0,2024-11-06T21:00:47,2.525,,,NOISE,2024-11-06T21:00:47,2.525,,,NOISE,2024-11-06T21:00:47,2.525,,,NOISE,2024-11-06T21:00:47,2.525,,,NOISE
2026-03-04T12:21:07.436665,Map-Energy__sum__linear-conv00241-20241107_000047-20241107_060047-0.050000-5.000000.png,2024-11-07T00:00:47,2024-11-07T06:00:47,0.05,5.0,2024-11-07T03:00:47,2.525,,,NOISE,2024-11-07T03:00:47,2.525,,,NOISE,2024-11-07T03:00:47,2.525,,,NOISE,2024-11-07T03:00:47,2.525,,,NOISE
2026-03-04T12:21:08.316715,Map-Energy__sum__linear-conv00251-20241107_060047-20241107_120047-0.050000-5.000000.png,2024-11-07T06:00:47,2024-11-07T12:00:47,0.05,5.0,2024-11-07T09:00:47,2.525,,,NOISE,2024-11-07T09:00:47,2.525,,,NOISE,2024-11-07T09:00:47,2.525,,,NOISE,2024-11-07T09:00:47,2.525,,,NOISE
2026-03-04T12:21:09.132866,Map-Energy__sum__linear-conv00261-20241107_120047-20241107_180047-0.050000-5.000000.png,2024-11-07T12:00:47,2024-11-07T18:00:47,0.05,5.0,2024-11-07T15:00:47,2.525,,,NOISE,2024-11-07T15:00:47,2.525,,,NOISE,2024-11-07T15:00:47,2.525,,,NOISE,2024-11-07T15:00:47,2.525,,,NOISE
2026-03-04T12:21:09.988751,Map-Energy__sum__linear-conv00271-20241107_180047-20241108_000047-0.050000-5.000000.png,2024-11-07T18:00:47,2024-11-08T00:00:47,0.05,5.0,2024-11-07T21:00:47,2.525,,,NOISE,2024-11-07T21:00:47,2.525,,,NOISE,2024-11-07T21:00:47,2.525,,,NOISE,2024-11-07T21:00:47,2.525,,,NOISE
2026-03-04T12:21:10.860754,Map-Energy__sum__linear-conv00281-20241108_000047-20241108_060047-0.050000-5.000000.png,2024-11-08T00:00:47,2024-11-08T06:00:47,0.05,5.0,2024-11-08T03:00:47,2.525,,,NOISE,2024-11-08T03:00:47,2.525,,,NOISE,2024-11-08T03:00:47,2.525,,,NOISE,2024-11-08T03:00:47,2.525,,,NOISE
2026-03-04T12:21:11.724699,Map-Energy__sum__linear-conv00291-20241108_060047-20241108_120047-0.050000-5.000000.png,2024-11-08T06:00:47,2024-11-08T12:00:47,0.05,5.0,2024-11-08T09:00:47,2.525,,,NOISE,2024-11-08T09:00:47,2.525,,,NOISE,2024-11-08T09:00:47,2.525,,,NOISE,2024-11-08T09:00:47,2.525,,,NOISE
2026-03-04T12:21:12.444702,Map-Energy__sum__linear-conv00301-20241108_120047-20241108_180047-0.050000-5.000000.png,2024-11-08T12:00:47,2024-11-08T18:00:47,0.05,5.0,2024-11-08T15:00:47,2.525,,,NOISE,2024-11-08T15:00:47,2.525,,,NOISE,2024-11-08T15:00:47,2.525,,,NOISE,2024-11-08T15:00:47,2.525,,,NOISE
2026-03-04T12:21:13.260740,Map-Energy__sum__linear-conv00311-20241108_180047-20241109_000047-0.050000-5.000000.png,2024-11-08T18:00:47,2024-11-09T00:00:47,0.05,5.0,2024-11-08T21:00:47,2.525,,,NOISE,2024-11-08T21:00:47,2.525,,,NOISE,2024-11-08T21:00:47,2.525,,,NOISE,2024-11-08T21:00:47,2.525,,,NOISE
2026-03-04T12:21:14.244760,Map-Energy__sum__linear-conv00321-20241109_000047-20241109_060047-0.050000-5.000000.png,2024-11-09T00:00:47,2024-11-09T06:00:47,0.05,5.0,2024-11-09T03:00:47,2.525,,,NOISE,2024-11-09T03:00:47,2.525,,,NOISE,2024-11-09T03:00:47,2.525,,,NOISE,2024-11-09T03:00:47,2.525,,,NOISE
2026-03-04T12:21:15.172678,Map-Energy__sum__linear-conv00331-20241109_060047-20241109_120047-0.050000-5.000000.png,2024-11-09T06:00:47,2024-11-09T12:00:47,0.05,5.0,2024-11-09T09:00:47,2.525,,,NOISE,2024-11-09T09:00:47,2.525,,,NOISE,2024-11-09T09:00:47,2.525,,,NOISE,2024-11-09T09:00:47,2.525,,,NOISE
2026-03-04T12:21:16.101087,Map-Energy__sum__linear-conv00341-20241109_120047-20241109_180047-0.050000-5.000000.png,2024-11-09T12:00:47,2024-11-09T18:00:47,0.05,5.0,2024-11-09T15:00:47,2.525,,,NOISE,2024-11-09T15:00:47,2.525,,,NOISE,2024-11-09T15:00:47,2.525,,,NOISE,2024-11-09T15:00:47,2.525,,,NOISE
2026-03-04T12:21:17.460740,Map-Energy__sum__linear-conv00351-20241109_180047-20241110_000047-0.050000-5.000000.png,2024-11-09T18:00:47,2024-11-10T00:00:47,0.05,5.0,2024-11-09T21:00:47,2.525,,,NOISE,2024-11-09T21:00:47,2.525,,,NOISE,2024-11-09T21:00:47,2.525,,,NOISE,2024-11-09T21:00:47,2.525,,,NOISE
2026-03-04T12:21:18.956870,Map-Energy__sum__linear-conv00361-20241110_000047-20241110_060047-0.050000-5.000000.png,2024-11-10T00:00:47,2024-11-10T06:00:47,0.05,5.0,2024-11-10T03:00:47,2.525,,,NOISE,2024-11-10T03:00:47,2.525,,,NOISE,2024-11-10T03:00:47,2.525,,,NOISE,2024-11-10T03:00:47,2.525,,,NOISE
2026-03-04T12:21:20.156919,Map-Energy__sum__linear-conv00371-20241110_060047-20241110_120047-0.050000-5.000000.png,2024-11-10T06:00:47,2024-11-10T12:00:47,0.05,5.0,2024-11-10T09:00:47,2.525,,,NOISE,2024-11-10T09:00:47,2.525,,,NOISE,2024-11-10T09:00:47,2.525,,,NOISE,2024-11-10T09:00:47,2.525,,,NOISE
2026-03-04T12:21:21.716714,Map-Energy__sum__linear-conv00381-20241110_120047-20241110_180047-0.050000-5.000000.png,2024-11-10T12:00:47,2024-11-10T18:00:47,0.05,5.0,2024-11-10T15:00:47,2.525,,,NOISE,2024-11-10T15:00:47,2.525,,,NOISE,2024-11-10T15:00:47,2.525,,,NOISE,2024-11-10T15:00:47,2.525,,,NOISE
2026-03-04T12:21:23.188598,Map-Energy__sum__linear-conv00391-20241110_180047-20241111_000047-0.050000-5.000000.png,2024-11-10T18:00:47,2024-11-11T00:00:47,0.05,5.0,2024-11-10T21:00:47,2.525,,,NOISE,2024-11-10T21:00:47,2.525,,,NOISE,2024-11-10T21:00:47,2.525,,,NOISE,2024-11-10T21:00:47,2.525,,,NOISE
2026-03-04T12:21:25.196610,Map-Energy__sum__linear-conv00401-20241111_000047-20241111_060047-0.050000-5.000000.png,2024-11-11T00:00:47,2024-11-11T06:00:47,0.05,5.0,2024-11-11T03:00:47,2.525,,,NOISE,2024-11-11T03:00:47,2.525,,,NOISE,2024-11-11T03:00:47,2.525,,,NOISE,2024-11-11T03:00:47,2.525,,,NOISE
2026-03-04T12:21:26.756729,Map-Energy__sum__linear-conv00411-20241111_060047-20241111_120047-0.050000-5.000000.png,2024-11-11T06:00:47,2024-11-11T12:00:47,0.05,5.0,2024-11-11T09:00:47,2.525,,,NOISE,2024-11-11T09:00:47,2.525,,,NOISE,2024-11-11T09:00:47,2.525,,,NOISE,2024-11-11T09:00:47,2.525,,,NOISE
2026-03-04T12:21:27.860821,Map-Energy__sum__linear-conv00421-20241111_120047-20241111_180047-0.050000-5.000000.png,2024-11-11T12:00:47,2024-11-11T18:00:47,0.05,5.0,2024-11-11T15:00:47,2.525,,,NOISE,2024-11-11T15:00:47,2.525,,,NOISE,2024-11-11T15:00:47,2.525,,,NOISE,2024-11-11T15:00:47,2.525,,,NOISE
2026-03-04T12:21:30.100706,Map-Energy__sum__linear-conv00431-20241111_180047-20241112_000047-0.050000-5.000000.png,2024-11-11T18:00:47,2024-11-12T00:00:47,0.05,5.0,2024-11-11T21:00:47,2.525,,,NOISE,2024-11-11T21:00:47,2.525,,,NOISE,2024-11-11T21:00:47,2.525,,,NOISE,2024-11-11T21:00:47,2.525,,,NOISE
2026-03-04T12:21:31.500992,Map-Energy__sum__linear-conv00441-20241112_000047-20241112_060047-0.050000-5.000000.png,2024-11-12T00:00:47,2024-11-12T06:00:47,0.05,5.0,2024-11-12T03:00:47,2.525,,,NOISE,2024-11-12T03:00:47,2.525,,,NOISE,2024-11-12T03:00:47,2.525,,,NOISE,2024-11-12T03:00:47,2.525,,,NOISE
2026-03-04T12:21:33.660680,Map-Energy__sum__linear-conv00451-20241112_060047-20241112_120047-0.050000-5.000000.png,2024-11-12T06:00:47,2024-11-12T12:00:47,0.05,5.0,2024-11-12T09:00:47,2.525,,,NOISE,2024-11-12T09:00:47,2.525,,,NOISE,2024-11-12T09:00:47,2.525,,,NOISE,2024-11-12T09:00:47,2.525,,,NOISE
2026-03-04T12:21:35.428523,Map-Energy__sum__linear-conv00461-20241112_120047-20241112_180047-0.050000-5.000000.png,2024-11-12T12:00:47,2024-11-12T18:00:47,0.05,5.0,2024-11-12T15:00:47,2.525,,,NOISE,2024-11-12T15:00:47,2.525,,,NOISE,2024-11-12T15:00:47,2.525,,,NOISE,2024-11-12T15:00:47,2.525,,,NOISE
2026-03-04T12:21:37.044566,Map-Energy__sum__linear-conv00471-20241112_180047-20241113_000047-0.050000-5.000000.png,2024-11-12T18:00:47,2024-11-13T00:00:47,0.05,5.0,2024-11-12T21:00:47,2.525,,,NOISE,2024-11-12T21:00:47,2.525,,,NOISE,2024-11-12T21:00:47,2.525,,,NOISE,2024-11-12T21:00:47,2.525,,,NOISE
2026-03-04T12:21:38.452627,Map-Energy__sum__linear-conv00481-20241113_000047-20241113_060047-0.050000-5.000000.png,2024-11-13T00:00:47,2024-11-13T06:00:47,0.05,5.0,2024-11-13T03:00:47,2.525,,,NOISE,2024-11-13T03:00:47,2.525,,,NOISE,2024-11-13T03:00:47,2.525,,,NOISE,2024-11-13T03:00:47,2.525,,,NOISE
2026-03-04T12:21:39.620722,Map-Energy__sum__linear-conv00491-20241113_060047-20241113_120047-0.050000-5.000000.png,2024-11-13T06:00:47,2024-11-13T12:00:47,0.05,5.0,2024-11-13T09:00:47,2.525,,,NOISE,2024-11-13T09:00:47,2.525,,,NOISE,2024-11-13T09:00:47,2.525,,,NOISE,2024-11-13T09:00:47,2.525,,,NOISE
2026-03-04T12:21:40.702282,Map-Energy__sum__linear-conv00501-20241113_120047-20241113_180047-0.050000-5.000000.png,2024-11-13T12:00:47,2024-11-13T18:00:47,0.05,5.0,2024-11-13T15:00:47,2.525,,,NOISE,2024-11-13T15:00:47,2.525,,,NOISE,2024-11-13T15:00:47,2.525,,,NOISE,2024-11-13T15:00:47,2.525,,,NOISE
